machine_guid	c
8416f70aadfa4b349e0259abe1956385	76
c3b54a538c46f33a727f87874ffe3d54	75
717ddd182ab248588b5093acc8f0d2ed	71
69bf8cfd449d5de0b5318a20c56c8d1e	68
8e7bdfd0823e418b96af65a4b5a5e694	67
680d771a3c9b497d96c756e79a92ce23	67
79537fefdf048e125331d0a91173ac52	64
ccab1cf334b07971a6433e6f31c2d6fa	63
73fcd7f2e910ab9436b19c1e18d86dca	62
8b77194fec3446d4b64bc055ce2e6e6b	58
76893583e7d1a3e07b0417e1ccbbc80f	57
4d92b0923c731ccbc094323c88fb5095	55
561177d9ff110cb81e1103d4cc657355	55
81cc1198fbc4a6e45a5003ed35235ebe	55
a690f860175c2e965debd34c653f258d	54
a563b50358204d698f0fd72e8719619e	51
86529c065ade9553ed9791bda24a8f5b	49
6391e2473e13f9f4e90ea7d90f381dbd	49
71e64338be454fd5a185ed667f046c9a	48
825962d1fb68cd627074f198871f45c2	45
e1b7f2a82386db895f7d71fe49c0d55d	44
b49af9c37693456eba56026cabdcf656	41
76da9ce83df242da9301dce98c18ac2d	39
776d97851594b8d8708b7fd2fef91bba	38
7348f3fb6d8b45f796c131ba04c63445	35
88d982b66858f365e1ec9ebcb87ece4e	33
5e130c1ced5056f16e10745e7692027c	32
40dda35421a9f7fd8a1f37720331984a	31
fd2432e4293e4700b399f77fe1688357	28
820502c94ead47599ca0c2d0d5353252	26
96367964f0fac62197a4d6814bb9b71a	26
69e18b8301fe47a5b5390acf7000f038	25
6568cd71a766f7c4db7fd89f0b101688	25
44502e2315c441e4af3d7a5c597df517	23
97a07ed5cd72467e98164779ca071855	23
832ede16801d79bb596e6b359acaac56	22
b56db964384e4066b662d4e4a4719d14	22
8738a85ddee572206b0d0ed3324d2550	21
8c6edc3478dfee1d6ba703f0ec51f317	19
75c8a10dd8b8465f8eec63fb31a83388	18
7968c8b82f2ad332cd50e3f7991f7612	17
50b7a5d37b06cdd66ca708bc54db3fbf	16
ac0992e706974cf5ac17950e9516f5ad	16
63416872933f4782bbc6a234db675612	16
603893993c1dbf06c5ad2a48acd14502	15
a3b72243559147ceaf456ef3f118072f	14
8baec8162f5e0225ad7acb74a83e3b2f	14
8df0f491c3c82bff028ee99a4da437c7	13
57a85c4d35db0b2c72f0f60331a07071	11
5619c5668c2b441c932212708a1cf26a	10
6ff7bac0bf7973c9e2c9c1c3a7876ec3	7
878931485454424f6b89c08d6776c6ed	7
48ba3573e1ea43e780066c0cbb9f7529	6
70014340a4574101afadca9f4e9b9016	6
7ec80a58e734d78c853b35646cf9a213	6
8771bf681f0710243dcd07d8f8ded6f1	6
a31d7f7a6ded02e93e34a93801bc4378	5
8c0e9a56cd494a05a11eb08c9d36517a	5
8466fa878e87f53602ce5be062386e23	5
eb1c6d4eac49d05be8d5cbcb778ae965	4
7806ec0de17e56566be2b21190edb039	4
c67cf1cc3fd0de0f21d59909f9fe4592	4
a2913ce9a6033be90c8d1dfdc753258d	4
76e8167434da731122bc2666455f5ccb	4
6d3b70ad4d0c56b30277e3b5d9217086	4
9dbc5a13e7d01dd9ae61b3d795cc5d92	3
577c35d46c4212b4db48811407fee2e9	3
84b9cf14b58d871dc7cd5b7d9d8ffa32	3
6732453052429fee40a77507c3623bd8	3
52a5ca59479045ddb9ff9495198f4cf8	3
8fd1d14b9e205e288d43c8a0293fcf98	2
66fbeb8c4c94249f7990a22ce480a07d	2
60e2af061a0695ee4508b8814b9e9212	2
8b9bd5e0ffdf11aa97fd488b4305d18e	2
9bf8904d0bec11e1a586cc52af70491a	2
913bbe8429d4bd6bfe57c7b78eb62925	2
691eaaf54c73bba3368a095cfa0832b7	2
9614e90b765c65004897a985e028b9de	2
8a4e91f7a0dc64a4d6eb2898c2b09b12	2
bb5e695b4b9f7ddc266e0ab2df106b3a	2
99bc2b1fa2cfef415f3251039572f34d	2
6676e76de4a3432cb47c9dede4b50f45	2
842e858d3e4b87c456fa2535e607bb50	2
56c17c2a5db80c5cb628d6d7d892e5a5	2
8a093d49b26fa31bd42de8e555283de5	2
7b6af66d85a2cfac2bee0b9ec138de1e	2
b396491d3317de44fcd41276c110e10c	2
98f165e7393bb59d749081a459cae473	2
68d1800e259024e25b00cce4d6e0c6c9	2
5432119501e0aa0ab56a8ac64a480da9	1
7dfe799a28713914e7c95e3bcc093f2d	1
7d133ec9a8235744eea6503c4beccf13	1
477a348f2fe70aae1499c2ab78c9fd62	1
b00c2fa1ca0458245c8ab9a52e09b223	1
7b83edbcd878fa46a13e2d83721918c9	1
9c289c243d801d1e6f4d4554221d447b	1
7cfdd8f67afd4e6ea34fcdecb18286ee	1
9a1ae73a38ce3c974fa9ecc44c1b91c4	1
abd8976524dd03b245ded026ab552026	1
bd9482e20496c1640356817d463c3d1e	1
683404b27720190a5c9192f4926d5ef7	1
42a549e838c8e5bf28f5c6d977bd97fb	1
92da7f55c84f0a6cb146bb1d4eaac0e2	1
cdf3ae15fef5488fc181e5a4261e9f7f	1
55d14c6a5c0844a92547340415187ee7	1
6b6825311749d1f411531909f3019912	1
88240bad4fbe7db1d1ecd97331e30a78	1
7c49a775915d4148b6e5a4ee2ffd1130	1
80f212db7e070d137fcaa6bda76709ce	1
9dcd3d7ee9e95972957b57a602aa5939	1
81c995ae28724bfb90010f23d4900cfa	1
76564eac15242e4926cc005030dabeb8	1
74bc7ffbe8ed228f33f622e94e2b0728	1
7cc6c62fa43d663463847c0287266ba1	1
a558b457a298afd8e7d61c8033be4fb8	1
a3301bb2072db42c115fe1e98ead7dd1	1
a4cff56d1a5d87affae0bb068dde7f8c	1
7d6b525132d542f1d4ebcbb4f7f8df99	1
a59129feedca7482d95e22aece8ecfd2	1
af1f49a4bff2496a9d148eefbba863d2	1
75b3ee536f2f466d4b99326a88161fb4	1
60834c08aaeeb86bf87a5765e5838833	1
c16d995b7b32f9a32826aa3f60a09b3e	1
b0096992042b86c5276aacb07fed3f65	1950
5309329449979c3a571aa3a672d119ea	1092
57dba574406a39793f3db57f69036ace	1069
aced4e7d0e0d8a53527bf943e8bda452	1053
65496cb12a6bf51d4c79405448cd8c69	1045
8519c8bc9989afabe672c78a523010ec	1042
660557a95dcf573bc234f5ea2f3ecbc7	1041
545095c97eb8b4eb57337ecf22de326b	1040
845066ffd9166cb848d14854f65e3617	1037
8b71ea6acc4ffa9d5e4d3ce2bdc65085	1036
66e831da5cc023ba36dfe1ac2bb3a2c0	1034
4267ef19b20ae8b7349acad05bc96687	1032
5e39aecd2e0017fc3acd2889fc6d4231	1030
72f69a07ceb7c6da85be817b5c8b8dc8	1029
58fcfc7e9c49aacd877f7e8aaac89d5e	1016
7e2b29d6b788e01195d41fa2d7f9b223	1015
4a2c82082596cc4bc9070a716fc2ba42	1013
71909699c6ef09c43807f1e4774df542	1012
73d701aadc8b8a9c86c7b4e17cae6e6d	1012
49b366e3634dad41b79105fb6f0de2b4	1010
76c95484e5432791c47d9d3c39bf28df	1010
685bbb5f1358e148fab23a29d7a5b458	1009
78ca34697c2d4f0da309f6a9ff635d77	1009
4ea23f94b2fe6d73de3a92031e0c803a	1008
4bfd83f0414e33cfe1b3e19104328582	1007
2b21b441746e53ceb658298ab79e025d	1006
641bd28c1febf72c1b5ec28854e98c89	1005
4c67d97a76b333d0b5ed9a1f5827116b	1005
7e8417761ca64a8973240f6573415d18	1004
7eb0070dedb2310fa58781363abe6aba	1004
541a5ddd9a95ef30d0d69710ef214c6f	1004
7ce13a39f987bec42be810d6acb0a88a	1004
ccff5d4dc6394d14d0846754fb949bd7	1003
3bb5e81ac0da8c45804db7af4e3005d2	1002
68d0e9978a642c52035b797ca2b28f74	1002
64774934584356aeadf23f10c353ec03	1001
698b99e625ce5c752835da5509a4db0e	1001
61e32a13b210345907acd53e9375b8d4	1001
6572f618c445095928b670942c9518f3	968
9fcedf104e3f41b0e6df73bb29418189	961
790f10929f2c5ca8caa7e9111b75944b	915
3796f603eb2317e73118af4c916a3880	879
6e754a1620ca3109a6a5ff0a21e32ec8	836
753914482993cfee44f104cdb917499d	819
a427cc2b728342ef757e6cb12c93e42f	801
67f7d31fc2d48c4d1a7d4c8de1926e66	758
391acf007a4960a9d1e4299b7817568b	758
56d64192ba75004177be8dbaf4d71ff2	724
610571603be0e39ad36508e15ef407ee	705
875c8b79a4c1918873a02576f29db8cc	700
840adf90c5bf6b5ae3330c0029960122	682
95d2253022cbfb33d341aa0bb9798ced	680
57f62195235d32792b226256119fa601	675
8342464239965af0b30e313b91a4d80a	674
63f4be97718ee3842fbc84300123a704	672
6d694435f57568808c41104934cf7807	669
4862b40a4f9b0c8def2e3001232ea855	669
9aebecbac15bb72def4ef0cfa88c3e21	668
5042c3b826f3dd3f944974b0099e9e0b	667
8abd7ac0a118bf379f0af371cb340325	660
340905892e578aeb38974ae46bcc3fad	643
5ef7c321bf1d5e8984a8fbd6c1090b1f	618
869aa807157f901f60871aece7653a64	600
5c404dd7be1b2fc9018414e7a4051e8e	569
5f4594df39f6ea9334b9b76ebbbcce1f	560
628e3f743f489042b5f913d23bf1acc7	554
